"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,18.9,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,18.6,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,14.6,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,15.1,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,15.2,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,15.1,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,15,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,14.4,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,14,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,14,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,14.3,,
"FRA","France","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,14,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,20.5,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,19.3,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,19.1,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,20.4,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,22.5,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,17.3,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,19.3,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,17.1,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,17.4,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,17,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,16.8,,
"DEU","Germany","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,17.1,,
"GRC","Greece","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,13.9,,
"GRC","Greece","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,16.7,,
"GRC","Greece","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,11.9,,
"GRC","Greece","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,11.6,,
"GRC","Greece","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,9.5,,
"GRC","Greece","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,12.2,,
"GRC","Greece","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,10.7,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,14.1,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,13.7,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,9.1,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,1.5,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,3,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,4,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,0.4,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,3.6,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,2.2,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,3.9,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,6.4,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,6.9,,
"HUN","Hungary","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","units",,,11.3,,
"ISL","Iceland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,19.2,,
"ISL","Iceland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,13.2,,
"ISL","Iceland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,12.4,,
"ISL","Iceland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,15.9,,
"ISL","Iceland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,13.3,,
"ISL","Iceland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,14.1,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,19.7,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,19.7,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,18.2,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,13.8,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,14.4,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,18,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,15,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,14.9,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,12.8,,
"IRL","Ireland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,10.4,,
"ITA","Italy","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,7.4,,
"ITA","Italy","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,11,,
"ITA","Italy","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,6.7,,
"ITA","Italy","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,6.9,,
"ITA","Italy","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,11.8,,
"ITA","Italy","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,11.1,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,33.9,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,33.9,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,32.5,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,32,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,31.1,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,32.8,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,33,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,31.7,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,30.7,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,28.3,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,28.7,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,27.4,,
"JPN","Japan","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","units",,,26.5,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,41.7,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,40.4,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,41,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,40.1,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,39.6,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,39.6,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,39.8,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,38.2,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,39,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,38.6,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,39.6,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,36.6,,
"KOR","Korea","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","units",,,36.3,,
"NLD","Netherlands","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,18.7,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,7.1,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,8.1,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,7.5,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,7.4,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,7.6,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,9.6,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,9.3,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,7,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,7.8,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,7.8,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,6.8,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,4.2,,
"NZL","New Zealand","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","units",,,6.2,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,10.2,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,10.7,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,10.7,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,10.2,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,9.7,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,9.4,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,9.2,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,9.8,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,9.2,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,8.7,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,8.1,,
"NOR","Norway","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,7.8,,
